Set	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
(962,343,961)	-1	0	0	0	0	0	0	
(170,130,693)	-0.5	0	-1	0	0	0	0	
(215,3,237)	0	0	0	0	0.111111111111111	1.33333333333333	0	
(886,129,498)	-1	0	0	0	0.111111111111111	0	1	
(886,129,296)	-0.666666666666667	0	0	0	0.111111111111111	0	1	
(112,887,503)	-0.666666666666667	-0.333333333333333	-0.666666666666667	0	0	0	0	
(112,887,94)	-0.333333333333333	-0.333333333333333	-0.833333333333333	0	0	0	0	
(2,17,851)	-1.66666666666667	0	0	0	0	0	1	
(973,3,237)	0	0	-0.333333333333333	0	0.166666666666667	1.33333333333333	0	
(129,498,296)	-0.666666666666667	0	0	0	0.111111111111111	0	1	
(133,24,576)	-0.666666666666667	-1	0	0	0	0	1	
(112,887,769)	-0.666666666666667	-0.666666666666667	-0.833333333333333	0	0	0	0	
(906,979,254)	0	-0.5	-1	0.333333333333333	0	0	0	
(29,458,512)	-0.333333333333333	0	-0.666666666666667	0	0	0	1.33333333333333	
(294,892,125)	-0.333333333333333	0	0	0	0.166666666666667	0	0	
(62,285,841)	0	0	-0.666666666666667	0	0	0	0	
(494,597,337)	0	0	-0.5	0	0	0	1.33333333333333	
(494,597,354)	0	0	-0.5	0	0	0	1.33333333333333	
(949,828,731)	0	-1	-0.833333333333333	0	0	0	0	
(468,598,852)	-0.666666666666667	-0.833333333333333	0	0	0	1	0	
(419,441,899)	-0.333333333333333	0	-0.666666666666667	0	0	0	1	
(50,129,296)	-0.666666666666667	0	0	0	0.222222222222222	0	1	
(50,129,498)	-1	0	0	0	0.222222222222222	0	1	
(973,215,237)	0	0	0	0	0.166666666666667	1	0	
(352,82,574)	0	-1	0	0.333333333333333	0	0	1	
(973,215,3)	0	0	0	0	0.166666666666667	1.33333333333333	0	
(330,597,354)	0	0	-0.5	0	0.333333333333333	0	1.33333333333333	
(242,771,943)	-0.833333333333333	-0.666666666666667	0	0	0	0.666666666666667	0	
(330,597,337)	0	0	-0.5	0	0.333333333333333	0	1.33333333333333	
(973,215,357)	0	0	0	0	0.333333333333333	1.33333333333333	0	
(836,363,405)	-0.333333333333333	0	0	0	0	0	0	
(27,973,357)	-0.333333333333333	0	-0.333333333333333	0	0.333333333333333	1.33333333333333	0	
(112,503,94)	-0.666666666666667	-0.333333333333333	-0.666666666666667	0	0	0	0	
(857,128,977)	-0.666666666666667	0	0	0	0	0	0	
(112,769,503)	-1	-0.666666666666667	-0.666666666666667	0	0	0	0	
(220,566,497)	0	-0.666666666666667	0	0	0	1	0	
(857,128,57)	-0.666666666666667	0	0	0	0	0	0	
(419,952,441)	-0.333333333333333	0	-0.666666666666667	0	0	0	1.33333333333333	
(458,260,883)	-0.666666666666667	0	0	0	0	1.66666666666667	0	
(27,973,3)	0	0	-0.333333333333333	0	0.166666666666667	1.33333333333333	0	
(27,973,237)	0	0	-0.666666666666667	0	0.166666666666667	1	0	
(27,973,215)	0	0	0	0	0.166666666666667	1	0	
(642,441,899)	-0.666666666666667	0	-0.333333333333333	0	0.166666666666667	0	1	
(112,769,94)	-0.666666666666667	-0.666666666666667	-0.833333333333333	0	0	0	0	
(50,886,498)	-1	0	0	0	0.111111111111111	0	1	
(91,238,904)	-0.333333333333333	0	0	0	0.333333333333333	1	0	
(50,886,296)	-0.666666666666667	0	0	0	0.111111111111111	0	1	
(419,952,899)	-0.666666666666667	0	-1	0	0	0	1.33333333333333	
(101,130,693)	-0.666666666666667	0	-1	0	0	0	0	
(50,886,129)	-1	0	0	0	0.222222222222222	0	1	
(91,238,535)	-0.666666666666667	0	0	0	0.333333333333333	1	0	
(458,260,32)	-0.666666666666667	0	0	0	0	1.33333333333333	0	
(662,203,818)	0	-1	0	0	0	1.66666666666667	0	
(819,343,318)	-0.166666666666667	0	0	0	0.333333333333333	0	0	
(101,170,908)	-0.5	0	-0.666666666666667	0	0	0	0	
(315,432,184)	0	-0.666666666666667	0	0	0	0	1.16666666666667	
(908,130,693)	-0.333333333333333	0	-0.666666666666667	0	0	0	0	
(101,170,693)	-0.666666666666667	0	-1	0	0	0	0	
(50,835,561)	0	-0.666666666666667	-0.666666666666667	0	0	0	0	
(642,952,441)	-0.666666666666667	0	-0.333333333333333	0	0.166666666666667	0	1.33333333333333	
(330,494,597)	0	0	-0.333333333333333	0	0.333333333333333	0	1.33333333333333	
(330,494,354)	0	0	-0.666666666666667	0	0.333333333333333	0	1	
(887,769,94)	-0.333333333333333	-0.333333333333333	-1	0	0	0	0	
(330,494,337)	0	0	-0.666666666666667	0	0.333333333333333	0	1	
(64,979,254)	0	-0.333333333333333	-0.666666666666667	0.333333333333333	0	0	0	
(755,828,731)	0	-1	-1	0	0	0	0	
(101,170,130)	-0.666666666666667	0	-1	0	0	0	0	
(642,952,899)	-1	0	-0.666666666666667	0	0.166666666666667	0	1.33333333333333	
(705,226,478)	0	0	0	0	0	1	1.16666666666667	
(887,769,503)	-0.666666666666667	-0.333333333333333	-0.833333333333333	0	0	0	0	
(973,357,3)	-0.333333333333333	0	0	0	0.333333333333333	1.66666666666667	0	
(260,883,32)	-0.666666666666667	0	0	0	0	1.33333333333333	0	
(238,535,904)	-0.333333333333333	0	0	0	0.333333333333333	1	0	
(973,357,237)	-0.333333333333333	0	-0.333333333333333	0	0.333333333333333	1.33333333333333	0	
(28,653,117)	0	0	-0.666666666666667	0	0	1	0	
(887,503,94)	-0.333333333333333	0	-0.833333333333333	0	0	0	0	
(91,535,904)	-0.666666666666667	0	0	0	0	1	0	
(50,498,296)	-0.666666666666667	0	0	0	0.111111111111111	0	1	
(476,458,512)	-0.333333333333333	0	-0.666666666666667	0	0	0	1.33333333333333	
(170,908,693)	-0.333333333333333	0	-0.666666666666667	0	0	0	0	
(242,995,963)	-0.5	-0.666666666666667	0	0	0	0.666666666666667	0	
(242,995,943)	-0.5	-0.666666666666667	0	0	0	0.666666666666667	0	
(170,908,130)	-0.333333333333333	0	-0.666666666666667	0	0	0	0	
(64,906,254)	0	-0.166666666666667	-0.666666666666667	0.333333333333333	0	0	0	
(242,995,771)	-0.666666666666667	-0.666666666666667	0	0	0	0.666666666666667	0	
(857,507,65)	-1	0	0	0	0	0	0.666666666666667	
(64,906,979)	0	-0.5	-0.666666666666667	0	0	0	0	
(971,359,499)	-1	0	-1	0	0	0	1.33333333333333	
(200,778,527)	0	0	0	0	0	1.16666666666667	1.33333333333333	
